client_id,ndc,lottery_winner,book_date,cottage,arrival,departure,days,weeks,extra_days,persons,total_days_person,season,nights_w,dayprice_w,weekprice_w,nights_d,dayprice_d,painting_week,discount,discount_euro,early_booking_discount,cottage_total,extra_bed,cleaning,phone,internet,other_charges,final_total,net,IVA 6%,IVA 23%,date_deposit_25_perct,deposit_25_perct,date_rest,rest_75_perct,arrival_week_day,departure_week_day
1,0.0,0.0,2007-08-01,Casa Boa,2007-09-04,2007-09-18,14.0,0.0,0.0,2.0,28.0,high,14.0,85.0,595.0,0.0,0.0,0.0,0.0,25.0,0.0,1165.0,,,,,,1165.0,,,,,,2007-08-01,1165.0,1.0,1.0
2,0.0,0.0,2007-08-02,Casa Valorosa,2007-08-31,2007-09-07,7.0,0.0,0.0,4.0,28.0,high,7.0,85.0,595.0,0.0,0.0,0.0,0.0,145.0,0.0,450.0,,,,,,450.0,,,,,,2007-08-02,450.0,4.0,4.0
3,0.0,0.0,2007-08-16,Casa Basta,2007-08-16,2007-08-25,9.0,0.0,0.0,3.0,27.0,high,9.0,85.0,595.0,0.0,0.0,0.0,0.0,72.5,0.0,692.5,,,,,,692.5,,,,,,2007-08-16,692.5,3.0,5.0
4,0.0,0.0,2008-01-25,Casa Marcanta,2008-03-15,2008-03-22,7.0,0.0,0.0,2.0,14.0,mid,7.0,77.14285714285714,540.0,0.0,0.0,0.0,0.0,81.0,0.0,459.0,,,,,,459.0,,,,2008-01-25,114.75,2008-03-04,344.25,5.0,5.0
5,0.0,0.0,2008-01-25,Casa Marcanta,2008-04-25,2008-05-05,10.0,0.0,0.0,2.0,20.0,mid,7.0,77.14285714285714,540.0,3.0,75.0,0.0,0.0,0.0,0.0,765.0,,,,,,765.0,,,,2008-01-25,191.25,2008-03-25,573.75,4.0,0.0
1,0.0,0.0,2008-01-25,Casa Boa,2008-05-05,2008-05-19,14.0,0.0,0.0,2.0,28.0,mid,14.0,77.14285714285714,540.0,0.0,0.0,0.0,0.0,162.0,0.0,918.0,,,,,,918.0,,,,2008-01-25,229.5,2008-03-11,688.5,0.0,0.0
6,0.0,0.0,2008-01-25,Casa Valorosa,2008-07-21,2008-08-08,18.0,0.0,0.0,4.0,72.0,high,18.0,85.0,595.0,0.0,0.0,0.0,0.0,229.5,0.0,1300.5,,,,,,1300.5,,,,2008-01-25,325.125,2008-06-11,975.365,0.0,4.0
7,0.0,0.0,2008-01-31,Casa Valorosa,2008-05-10,2008-05-31,21.0,0.0,0.0,2.0,42.0,mid,21.0,77.14285714285714,540.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,,,,,,1620.0,,,,2008-01-31,405.0,2023-04-01,1215.0,5.0,5.0
8,0.0,0.0,2008-02-13,Casa Boa,2008-08-02,2008-08-16,14.0,0.0,0.0,3.0,42.0,high,14.0,85.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,1190.0,,50.0,,42.0,,1190.0,,,,2008-02-13,297.5,2008-06-24,984.5,5.0,5.0
9,0.0,0.0,2008-02-15,Casa Marcanta,2008-05-14,2008-05-22,8.0,0.0,0.0,2.0,16.0,mid,7.0,77.14,539.98,1.0,85.0,0.0,0.0,85.0,0.0,539.98,,,,,,539.98,,,,2008-02-15,134.995,2008-04-07,404.995,2.0,3.0
