week_day,year,cottage,low,mid,high
week,2008,Casa Basta,640.0,720.0,795.0
week,2008,Casa Boa,480.0,540.0,595.0
week,2008,Casa Marcanta,480.0,540.0,595.0
week,2008,Casa Valorosa,480.0,540.0,595.0
week,2008,Casarão Nova,750.0,850.0,925.0
week,2008,Casarão Velho,850.0,950.0,1025.0
day,2008,Casa Basta,95.0,110.0,125.0
day,2008,Casa Boa,70.0,85.0,95.0
day,2008,Casa Marcanta,70.0,85.0,95.0
day,2008,Casa Valorosa,70.0,85.0,95.0
day,2008,Casarão Nova,135.0,150.0,165.0
week,2009,Casa Basta,690.0,778.0,859.0
week,2009,Casa Boa,518.0,583.0,643.0
week,2009,Casa Marcanta,518.0,583.0,643.0
week,2009,Casa Valorosa,518.0,583.0,643.0
week,2009,Casarão Nova,810.0,918.0000000000001,999.0000000000001
week,2009,Casarão Velho,918.0000000000001,1026.0,1107.0
day,2009,Casa Basta,103.0,119.0,135.0
day,2009,Casa Boa,76.0,92.0,103.0
day,2009,Casa Marcanta,76.0,92.0,103.0
day,2009,Casa Valorosa,76.0,92.0,103.0
day,2009,Casarão Nova,130.0,146.0,162.0
week,2010,Casa Basta,656.0,759.0,880.0
week,2010,Casa Boa,492.0,568.0,659.0
week,2010,Casa Marcanta,492.0,568.0,659.0
week,2010,Casa Valorosa,492.0,568.0,659.0
week,2010,Casarão Nova,770.0,895.0,1024.0
week,2010,Casarão Velho,872.0,1000.0,1135.0
day,2010,Casa Basta,99.0,115.0,138.0
day,2010,Casa Boa,75.0,90.0,106.0
day,2010,Casa Marcanta,75.0,90.0,106.0
day,2010,Casa Valorosa,75.0,90.0,106.0
day,2010,Casarão Nova,119.0,125.0,166.0
day,2010,Casarão Velho,130.0,150.0,185.0
week,2011,Casa Basta,656.0,797.0,968.0
week,2011,Casa Boa,492.0,597.0,725.0
week,2011,Casa Marcanta,492.0,597.0,725.0
week,2011,Casa Valorosa,492.0,597.0,725.0
week,2011,Casarão Novo,770.0,940.0,1127.0
week,2011,Casarão Velho,872.0,1050.0,1249.0
day,2011,Casa Basta,99.0,121.0,152.0
day,2011,Casa Boa,75.0,95.0,117.0
day,2011,Casa Marcanta,75.0,95.0,117.0
day,2011,Casa Valorosa,75.0,95.0,117.0
day,2011,Casarão Novo,119.0,132.0,183.0
day,2011,Casarão Velho,130.0,158.0,204.0
week,2012,Casa Basta,656.0,797.0,1017.0
week,2012,Casa Boa,492.0,597.0,762.0
week,2012,Casa Marcanta,492.0,597.0,762.0
week,2012,Casa Valorosa,492.0,597.0,762.0
week,2012,Casarão Novo,770.0,940.0,1184.0
week,2012,Casarão Velho,872.0,1050.0,1312.0
day,2012,Casa Basta,99.0,121.0,160.0
day,2012,Casa Boa,75.0,95.0,123.0
day,2012,Casa Marcanta,75.0,95.0,123.0
day,2012,Casa Valorosa,75.0,95.0,123.0
day,2012,Casarão Novo,119.0,132.0,193.0
day,2012,Casarão Velho,130.0,158.0,215.0
week,2013,Casa Basta,689.0,837.0,1042.0
week,2013,Casa Boa,517.0,627.0,781.0
week,2013,Casa Marcanta,517.0,627.0,781.0
week,2013,Casa Valorosa,517.0,627.0,781.0
week,2013,Casarão Novo,809.0,987.0,1214.0
week,2013,Casarão Velho,916.0,1103.0,1378.0
day,2013,Casa Basta,104.0,127.0,164.0
day,2013,Casa Boa,79.0,100.0,126.0
day,2013,Casa Marcanta,79.0,100.0,126.0
day,2013,Casa Valorosa,79.0,100.0,126.0
day,2013,Casarão Novo,125.0,139.0,198.0
day,2013,Casarão Velho,137.0,166.0,220.0
week,2014,Casa Basta,706.0,858.0,1068.0
week,2014,Casa Boa,530.0,643.0,800.0
week,2014,Casa Marcanta,530.0,643.0,800.0
